shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10107,39.495611,-119.798267,70004
10107,39.497435,-119.799135,70005
10107,39.497650,-119.799242,70006
10107,39.497650,-119.799242,80001
10107,39.498564,-119.799693,80002
10107,39.498861,-119.799847,80003
10107,39.499757,-119.800306,80004
10107,39.500623,-119.800743,80005
10107,39.500770,-119.800823,80006
10107,39.501461,-119.801169,80007
10107,39.501570,-119.801222,80008
10107,39.501570,-119.801222,90001
10107,39.501852,-119.801360,90002
10107,39.502633,-119.801738,90003
10107,39.503018,-119.801921,90004
10107,39.503018,-119.801921,100001
10107,39.504685,-119.802710,100002
10107,39.505747,-119.803228,100003
10107,39.506160,-119.803420,100004
10107,39.506700,-119.803684,100005
10107,39.507001,-119.803835,100006
10107,39.507001,-119.803835,110001
10107,39.507353,-119.804011,110002
10107,39.507897,-119.804272,110003
10107,39.508427,-119.804530,110004
10107,39.509202,-119.804902,110005
10107,39.509202,-119.804902,120001
10107,39.509760,-119.805170,120002
10107,39.510760,-119.805652,120003
10107,39.511625,-119.806071,120004
10107,39.511625,-119.806071,130001
10107,39.511694,-119.806104,130002
10107,39.512628,-119.806531,130003
10107,39.512888,-119.806671,130004
10107,39.513177,-119.806811,130005
10107,39.513177,-119.806811,140001
10107,39.514770,-119.807586,140002
10107,39.514813,-119.807608,140003
10107,39.515071,-119.807734,140004
10107,39.515071,-119.807734,150001
10107,39.515461,-119.807925,150002
10107,39.516359,-119.808367,150003
10107,39.516359,-119.808367,160001
10107,39.516387,-119.808380,160002
10107,39.516523,-119.808447,160003
10107,39.517020,-119.808686,160004
10107,39.517706,-119.809027,160005
10107,39.518296,-119.809314,160006
10107,39.518703,-119.809515,160007
10107,39.518703,-119.809515,170001
10107,39.518886,-119.809605,170002
10107,39.519932,-119.810116,170003
10107,39.520119,-119.810210,170004
10107,39.520119,-119.810210,180001
10107,39.520413,-119.810358,180002
10107,39.520912,-119.810601,180003
10107,39.521475,-119.810876,180004
10107,39.521475,-119.810876,190001
10107,39.521694,-119.810983,190002
10107,39.521808,-119.811060,190003
10107,39.521900,-119.811164,190004
10107,39.522241,-119.809883,190005
10107,39.522736,-119.810136,190006
10107,39.522736,-119.810136,200001
10107,39.522904,-119.810221,200002
10107,39.523628,-119.810564,200003
10107,39.524169,-119.810789,200004
10107,39.524387,-119.810882,200005
10107,39.524387,-119.810882,210001
10107,39.524708,-119.811019,210002
10107,39.525123,-119.811193,210003
10107,39.525473,-119.811351,210004
10107,39.525724,-119.811476,210005
10107,39.525732,-119.811476,210006
10107,39.526159,-119.811647,210007
10107,39.526419,-119.811734,210008
10107,39.526419,-119.811734,220001
10107,39.527174,-119.811987,220002
10107,39.528414,-119.812371,220003
10107,39.528643,-119.811180,220004
10107,39.528660,-119.811131,220005
10107,39.528685,-119.811078,220006
