route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
12-63,1801-1801-Weekday-01,433873-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9101,120171
18-63,1801-1801-Weekday-01,433874-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18140,180099
18-63,1801-1801-Weekday-01,433875-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18140,180099
18-63,1801-1801-Weekday-01,433876-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18140,180099
18-63,1801-1801-Weekday-01,433877-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18140,180099
18-63,1801-1801-Weekday-01,433878-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18140,180099
18-63,1801-1801-Weekday-01,433879-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18140,180099
18-63,1801-1801-Weekday-01,433880-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18105,180099
18-63,1801-1801-Weekday-01,433881-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18105,180099
18-63,1801-1801-Weekday-01,433882-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18140,180100
18-63,1801-1801-Weekday-01,433883-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18140,180100
18-63,1801-1801-Weekday-01,433884-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18140,180100
18-63,1801-1801-Weekday-01,433885-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18140,180100
18-63,1801-1801-Weekday-01,433886-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18140,180100
18-63,1801-1801-Weekday-01,433887-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18140,180100
18-63,1801-1801-Weekday-01,433888-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18140,180100
18-63,1801-1801-Weekday-01,433889-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18140,180100
18-63,1801-1801-Weekday-01,433890-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18140,180100
18-63,1801-1801-Weekday-01,433891-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18140,180100
18-63,1801-1801-Weekday-01,433892-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18140,180100
18-63,1801-1801-Weekday-01,433893-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18140,180100
18-63,1801-1801-Weekday-01,433894-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18140,180100
18-63,1801-1801-Weekday-01,433895-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18140,180100
18-63,1801-1801-Weekday-01,433896-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18140,180099
18-63,1801-1801-Weekday-01,433897-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18140,180099
18-63,1801-1801-Weekday-01,433898-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18140,180099
18-63,1801-1801-Weekday-01,433899-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18140,180099
18-63,1801-1801-Weekday-01,433900-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18140,180099
18-63,1801-1801-Weekday-01,433901-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18140,180099
18-63,1801-1801-Weekday-01,433902-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18140,180099
18-63,1801-1801-Weekday-01,433903-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18140,180099
18-63,1801-1801-Weekday-01,433904-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18145,180099
18-63,1801-1801-Weekday-01,433905-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18145,180099
18-63,1801-1801-Weekday-01,433906-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,18145,180099
18-63,1801-1801-Weekday-01,433907-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18145,180100
18-63,1801-1801-Weekday-01,433908-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18145,180100
18-63,1801-1801-Weekday-01,433909-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18145,180100
18-63,1801-1801-Weekday-01,433910-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18105,180100
18-63,1801-1801-Weekday-01,433911-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18105,180100
18-63,1801-1801-Weekday-01,433912-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18105,180100
18-63,1801-1801-Weekday-01,433913-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18105,180100
18-63,1801-1801-Weekday-01,433914-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18105,180100
18-63,1801-1801-Weekday-01,433915-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18105,180100
18-63,1801-1801-Weekday-01,433916-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18105,180100
18-63,1801-1801-Weekday-01,433917-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18105,180100
18-63,1801-1801-Weekday-01,433918-1801-1801-Weekday-01,"Meredith Way and Kleppe Lane",0,18105,180100
