stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1372,,"W 7th Street and Sierra Highlands Drive",,  39.538116,-119.870392,,,0,
1373,,"W 7th Street and Montego Drive",,  39.537113,-119.873863,,,0,
1374,,"W 7th Street and Keystone Avenue",,  39.530987,-119.830437,,,0,
1375,,"W 7th Street and Canal Street",,  39.531452,-119.828163,,,0,
1376,,"W 7th Street and Washington Street",,  39.532154,-119.824974,,,0,
1377,,"W 7th Street and Montego Drive",,  39.537529,-119.873703,,,0,
1380,,"Kuenzli Street and Kirman Avenue",,  39.528404,-119.797684,,,0,
14,,"S Virginia Street and Peppermill Lane",,  39.499313,-119.800308,,,0,
1409,,"S Virginia Street and Kietzke Lane",,  39.480042,-119.790764,,,0,
1411,,"S Virginia Street and Meadowood Mall Way",,  39.474716,-119.787971,,,0,
1412,,"S Virginia Street and Meadowood Mall Way",,  39.475185,-119.788528,,,0,
1413,,"Prater Way and Marian Way",,  39.541763,-119.744713,,,0,
1414,,"E Prater Way and Vista Boulevard",,  39.541866,-119.703140,,,0,
142,,"Kings Row and Van Petten Street",,  39.536732,-119.842064,,,0,
1421,,"Mill Street and S Rock Boulevard",,  39.516884,-119.765701,,,0,
1422,,"Mill Street and S Rock Boulevard",,  39.515305,-119.760239,,,0,
1423,,"Mill Street and Ohm Place",,  39.514576,-119.755875,,,0,
1424,,"Capital Boulevard and McCarran Boulevard",,  39.505695,-119.748428,,,0,
1425,,"S McCarran Boulevard and Perro Lane",,  39.493355,-119.748192,,,0,
1426,,"Longley Lane and Mira Loma Drive",,  39.486862,-119.760498,,,0,
1427,,"Longley Lane and Aircenter Circle",,  39.479889,-119.763649,,,0,
1428,,"Longley Lane between Mira Loma and Peckham",,  39.484055,-119.761734,,,0,
143,,"Kings Row and Wyoming Avenue",,  39.537201,-119.846031,,,0,
1430,,"McCarran Boulevard and Home Gardens Drive",,  39.476803,-119.767967,,,0,
1431,,"Longley Lane and Aircenter Circle",,  39.479836,-119.763496,,,0,
1432,,"Longley Lane between Peckham and Mira Loma",,  39.483421,-119.761864,,,0,
1433,,"S McCarran Boulevard and Perro Lane",,  39.492050,-119.747894,,,0,
1435,,"N Arlington Avenue and W 2nd Street",,  39.525871,-119.817162,,,0,
1436,,"S Arlington Avenue and Island Avenue",,  39.523998,-119.816536,,,0,
1437,,"S Arlington Avenue and Reno Avenue",,  39.517048,-119.817261,,,0,
1438,,"S Arlington Avenue and La Rue Avenue",,  39.514969,-119.817268,,,0,
1439,,"W Plumb Lane and S Arlington Avenue",,  39.505440,-119.816673,,,0,
144,,"Kings Row and Polson Street",,  39.537811,-119.848839,,,0,
1440,,"Plumas Street and Hillcrest Drive",,  39.504898,-119.812698,,,0,
1441,,"W Moana Lane and Grant Drive",,  39.491142,-119.803307,,,0,
1442,,"W Moana Lane and Baker Lane",,  39.491169,-119.799362,,,0,
1445,,"Kietzke Lane and E Peckham Lane",,  39.486580,-119.789375,,,0,
1446,,"Kietzke Lane and S Virginia Street",,  39.483517,-119.790443,,,0,
1449,,"Bluestone Drive and Craigmont Drive",,  39.456371,-119.772331,,,0,
145,,"Kings Row and Bridgewood Lane",,  39.538235,-119.852020,,,0,
1450,,"Bluestone Drive and Portman Avenue",,  39.453903,-119.773064,,,0,
1451,,"Offenhauser Drive at Comstock Hills Apartments",,  39.452324,-119.771240,,,0,
1452,,"Offenhauser Drive at Enclave Apartments",,  39.450706,-119.771271,,,0,
1453,,"Offenhauser Drive and Gateway Drive",,  39.448364,-119.771347,,,0,
1454,,"Gateway Drive at South Reno Athletic Club",,  39.446068,-119.766281,,,0,
1455,,"Prototype Drive and Gateway Drive",,  39.445126,-119.762726,,,0,
1456,,"Prototype Drive at Charter",,  39.447090,-119.762009,,,0,
1457,,"Prototype Drvie at IGT",,  39.450722,-119.760498,,,0,
1458,,"Double Diamond Parkway and Double R Boulevard",,  39.451260,-119.756950,,,0,
1459,,"Double Diamond Parkway and Technology Way",,  39.451462,-119.753967,,,0,
146,,"Kings Row and Marne Drive",,  39.538521,-119.854065,,,0,
1460,,"Double Diamond Parkway and Terabyte Drive",,  39.450390,-119.750931,,,0,
1461,,"Double Diamond Parkway and Trademark Drive",,  39.448227,-119.749153,,,0,
1462,,"Double Diamond Parkway and Sandhill Road",,  39.446327,-119.748703,,,0,
1463,,"Double Diamond Parkway and South Meadows Parkway",,  39.443974,-119.746193,,,0,
1464,,"South Meadows Parkway and Evergreen Street",,  39.441952,-119.748856,,,0,
1465,,"South Meadows Parkway and Truckee Meadows Place",,  39.441071,-119.751160,,,0,
1466,,"S Meadows Parkway at The Vintage Condominiums",,  39.440441,-119.752762,,,0,
1467,,"South Meadows Parkway and Prairie Dog",,  39.439495,-119.755745,,,0,
147,,"Kings Row and Surf Way",,  39.540718,-119.855843,,,0,
1471,,"Gateway Drive and Prototype Drive",,  39.445091,-119.763863,,,0,
1472,,"Gateway Drive at Custom Ink Reno",,  39.446144,-119.766434,,,0,
1473,,"Offenhauser Drive at Hillview Terrace Apartments",,  39.448181,-119.771263,,,0,
1474,,"Offenhauser Dr at Hillview Terrace Apartments",,  39.450600,-119.771202,,,0,
1475,,"Offenhauser Drive at Hillview Terrace Apartments",,  39.452415,-119.771149,,,0,
1476,,"Bluestone Drive and Portman Avenue",,  39.453838,-119.772995,,,0,
1477,,"Bluestone Drive and E Huffaker Lane",,  39.456924,-119.772057,,,0,
1479,,"Kietzke Lane and Redfield Parkway",,  39.479389,-119.793472,,,0,
148,,"N McCarran Boulevard at Viewcrest Shopping Center",,  39.541981,-119.857773,,,0,
1480,,"Kietzke Lane and S Virginia Street",,  39.482986,-119.790596,,,0,
1481,,"Kietzke Lane and E Peckham Lane",,  39.485630,-119.789139,,,0,
1482,,"Kietzke Lane and E Peckham Lane",,  39.488220,-119.789001,,,0,
1488,,"W Plumb Lane and Plumas Street",,  39.505817,-119.813354,,,0,
1489,,"S Arlington Avenue and La Rue Avenue",,  39.515106,-119.817101,,,0,
1490,,"Arlington Avenue at Wingfield Park",,  39.523849,-119.816292,,,0,
1491,,"N Arlington Avenue and W 2nd Street",,  39.525913,-119.817093,,,0,
1497,,"Valley Road and Enterprise Road",,  39.551022,-119.808235,,,0,
1498,,"Valley Road and Hood Avenue",,  39.548580,-119.807976,,,0,
1499,,"Valley Road and Denslowe Drive",,  39.544445,-119.807976,,,0,
15,,"S Virginia Street and Brinkby Avenue",,  39.496124,-119.798653,,,0,
150,,"Mae Anne Avenue and Sierra Highlands Drive",,  39.533585,-119.868896,,,0,
1504,,"Mayberry Drive and Hunter Lake Drive",,  39.510330,-119.835350,,,0,
1505,,"Hunter Lake Drive and California Avenue",,  39.512280,-119.835747,,,0,
151,,"Mae Anne Avenue and Morning Star Drive",,  39.533482,-119.873314,,,0,
1513,,"Sparks Boulevard and O'Callaghan Drive",,  39.550835,-119.718620,,,0,
1514,,"Sparks Boulevard and Express Street",,  39.546608,-119.715508,,,0,
152,,"Mae Anne Avenue and Shadow Park Drive",,  39.530861,-119.876274,,,0,
153,,"Mae Anne Avenue and Grand Point Way",,  39.529743,-119.879555,,,0,
1530,,"Keystone Avenue and University Terrace",,  39.531788,-119.831108,,,0,
1531,,"Kings Row and Majestic Drive",,  39.535450,-119.832275,,,0,
1532,,"N McCarran Boulevard and Las Brisas Boulevard",,  39.539421,-119.862946,,,0,
1533,,"Robb Drive and Mae Anne Avenue at CVS",,  39.528984,-119.882187,,,0,
1534,,"Robb Drive at Canyon Creek Park",,  39.525127,-119.882278,,,0,
1535,,"Robb Drive and Bankside Way",,  39.522957,-119.882263,,,0,
1536,,"Robb Drive and Walnut Creek Road",,  39.520161,-119.883904,,,0,
1537,,"Robb Drive and Sharlands Avenue at United Federal",,  39.517464,-119.887138,,,0,
1538,,"Summit Ridge Drive at Inn at Summit Ridge",,  39.520515,-119.860931,,,0,
1539,,"Summit Ridge Drive and Sky Mountain Drive",,  39.520500,-119.858658,,,0,
1540,,"Summit Ridge Drive and Scenic Hills Circle",,  39.519455,-119.855820,,,0,
1541,,"Sky Valley Drive and Summit Ridge Drive",,  39.518948,-119.853241,,,0,
1542,,"Sky Valley Drive at Southridge Apartments",,  39.520435,-119.852356,,,0,
1543,,"Sky Mountain Dr at Vista Ridge Apartments",,  39.523663,-119.853546,,,0,
1544,,"Sky Mountain Drive and Vista Ridge West Apartments",,  39.524078,-119.856346,,,0,
1545,,"Sky Mountain Drive and Arbor Ridge Drive",,  39.522785,-119.858498,,,0,
1546,,"Summit Ridge Drive and Sky Mountain Drive",,  39.520718,-119.859329,,,0,
1547,,"Summit Ridge Dr at 7-Eleven",,  39.520504,-119.862534,,,0,
155,,"Robb Drive at McQueen High School",,  39.534573,-119.881790,,,0,
1550,,"W 4th Street and Cemetery Road",,  39.524063,-119.835106,,,0,
1551,,"W 4th Street and Edwards Way",,  39.525406,-119.830788,,,0,
1552,,"Sky Valley Drive and Summit Ridge Drive",,  39.519211,-119.853249,,,0,
1553,,"Summit Ridge Dr at Vista West Apartments",,  39.519753,-119.855995,,,0,
1554,,"Sky Mountain Drive and Summit Ridge Drive",,  39.520344,-119.859238,,,0,
1555,,"Robb Drive at Scolari's",,  39.518116,-119.885666,,,0,
1556,,"Robb Drive and Big Springs Road",,  39.520306,-119.883263,,,0,
1557,,"Robb Drive and Bankside Way",,  39.522327,-119.882072,,,0,
1558,,"Robb Drive at Canyon Creek Park",,  39.524647,-119.882095,,,0,
